,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Addison,32.9585082,-96.8369852,Elite Cigar Cafe,32.95496702929037,-96.83787488773157,Smoke Shop
1,Addison,32.9585082,-96.8369852,Chuy's,32.95357493451999,-96.83581508869585,Mexican Restaurant
2,Addison,32.9585082,-96.8369852,Best Thai Signature,32.95479,-96.84132,Thai Restaurant
3,Addison,32.9585082,-96.8369852,Fogo de Chao Brazilian Steakhouse,32.95378171798811,-96.83773760921002,Churrascaria
4,Addison,32.9585082,-96.8369852,Taste of Chicago,32.95020153463529,-96.83973457666974,Pizza Place
5,Addison,32.9585082,-96.8369852,Chamberlain's Fish Market Grill,32.95444204731103,-96.83532836360787,Seafood Restaurant
6,Addison,32.9585082,-96.8369852,Texas de Brazil,32.95459191849679,-96.83020587398852,Brazilian Restaurant
7,Addison,32.9585082,-96.8369852,Addison Circle Park,32.96091736234708,-96.82648760864595,Park
8,Addison,32.9585082,-96.8369852,Mr. Sushi,32.95342399459196,-96.8290814750916,Sushi Restaurant
9,Addison,32.9585082,-96.8369852,Anime Pop,32.95468079764935,-96.84119581948121,Hobby Shop
10,Addison,32.9585082,-96.8369852,Agency Creative,32.95018658,-96.8282393,Advertising Agency
11,Addison,32.9585082,-96.8369852,Kenny's Wood Fired Grill,32.953615156333065,-96.82357266880835,American Restaurant
12,Addison,32.9585082,-96.8369852,Salata,32.9531062,-96.8276887,Salad Place
13,Addison,32.9585082,-96.8369852,Ida Claire,32.954487,-96.825878,Southern / Soul Food Restaurant
14,Addison,32.9585082,-96.8369852,Ferrari's Italian Villa,32.94957472744453,-96.839309610692,Italian Restaurant
15,Addison,32.9585082,-96.8369852,Thai Star,32.9501664508331,-96.84039054050827,Thai Restaurant
16,Addison,32.9585082,-96.8369852,Lefty's Lobster and Chowder House,32.954527857020345,-96.84435609984261,Seafood Restaurant
17,Addison,32.9585082,-96.8369852,Loving Hut,32.95152821082867,-96.83913008308971,Vegetarian / Vegan Restaurant
18,Addison,32.9585082,-96.8369852,Addison Athletic Club,32.94990366689907,-96.84913598091923,Gym
19,Addison,32.9585082,-96.8369852,Chick-fil-A,32.9569391,-96.8191153,Restaurant
20,Addison,32.9585082,-96.8369852,Whole Foods Market,32.95318325066417,-96.82118894584136,Grocery Store
21,Addison,32.9585082,-96.8369852,La Spiga,32.958277970448925,-96.83741720119946,Bakery
22,Addison,32.9585082,-96.8369852,Gaia Flow Yoga,32.96092063587442,-96.82395706574816,Yoga Studio
23,Addison,32.9585082,-96.8369852,AMC Village on the Parkway 9,32.950495370239636,-96.82060831554428,Movie Theater
24,Addison,32.9585082,-96.8369852,Zoës Kitchen,32.95377328692309,-96.82084312013015,Greek Restaurant
25,Addison,32.9585082,-96.8369852,Snap Kitchen,32.954371780501326,-96.82717949883941,Food & Drink Shop
26,Addison,32.9585082,-96.8369852,Cantina Laredo,32.953412665360034,-96.83422728858886,Mexican Restaurant
27,Addison,32.9585082,-96.8369852,In-N-Out Burger,32.957031621459066,-96.8207785950516,Burger Joint
28,Addison,32.9585082,-96.8369852,Hopdoddy Burger Bar,32.950926,-96.821021,Burger Joint
29,Addison,32.9585082,-96.8369852,Houstons Restaurant,32.95375933107589,-96.81606622502146,American Restaurant
30,Addison,32.9585082,-96.8369852,Cinco Tacos,32.953547420766576,-96.82305448644932,Taco Place
31,Addison,32.9585082,-96.8369852,Chick-fil-A,32.9536384,-96.8524642,Fast Food Restaurant
32,Addison,32.9585082,-96.8369852,The Lowkey Poke Joint,32.95171253653876,-96.82176250432575,Seafood Restaurant
33,Addison,32.9585082,-96.8369852,"Mercy, a Wine Bar",32.951438025930386,-96.82046735233772,Wine Bar
34,Addison,32.9585082,-96.8369852,Gloria's,32.95189920986568,-96.82204336488036,Latin American Restaurant
35,Addison,32.9585082,-96.8369852,Snuffer's,32.95393996735736,-96.8396800836817,Burger Joint
36,Addison,32.9585082,-96.8369852,Neighborhood Services,32.95225270920362,-96.82048185515688,American Restaurant
37,Addison,32.9585082,-96.8369852,Liberty Burger,32.969,-96.82029,Burger Joint
38,Addison,32.9585082,-96.8369852,Lawry's The Prime Rib,32.94527836769307,-96.82386567252581,Steakhouse
39,Addison,32.9585082,-96.8369852,Potbelly Sandwich Shop,32.954498,-96.82705,Sandwich Place
40,Addison,32.9585082,-96.8369852,Yard House,32.950552835060506,-96.81978069950793,American Restaurant
41,Addison,32.9585082,-96.8369852,Deluxe Nail Salon,32.957146036451675,-96.81761815376498,Nail Salon
42,Addison,32.9585082,-96.8369852,Goody Goody Liquor,32.95096309829762,-96.83092090601443,Liquor Store
43,Addison,32.9585082,-96.8369852,Joe's Italian Café,32.95354082114835,-96.8469290346068,Italian Restaurant
44,Addison,32.9585082,-96.8369852,Flying Saucer Draught Emporium,32.95293659295575,-96.81886163789346,Beer Bar
45,Addison,32.9585082,-96.8369852,Kenny's Italian Kitchen,32.95237050271456,-96.81972059483316,Italian Restaurant
46,Addison,32.9585082,-96.8369852,Big D Party Rentals,32.97724536480488,-96.8385205615377,Shop & Service
47,Addison,32.9585082,-96.8369852,Flower Child,32.9536897508816,-96.8176024192022,Restaurant
48,Addison,32.9585082,-96.8369852,Cavanaugh Flight Museum,32.972898235087975,-96.83468380235342,History Museum
49,Addison,32.9585082,-96.8369852,Mesero - Prestonwood,32.95438623387236,-96.81117254099105,Tex-Mex Restaurant
50,Addison,32.9585082,-96.8369852,La Comida,32.9523170666773,-96.82041930905957,Mexican Restaurant
51,Addison,32.9585082,-96.8369852,Look Cinemas,32.95454533973531,-96.81301873238837,Multiplex
52,Addison,32.9585082,-96.8369852,Snooze,32.95227573916978,-96.82115778850208,Breakfast Spot
53,Addison,32.9585082,-96.8369852,Antonio Ristorante,32.96146824442843,-96.8260955536431,Italian Restaurant
54,Addison,32.9585082,-96.8369852,Cattleack Barbeque,32.93469180790887,-96.8364411985058,BBQ Joint
55,Addison,32.9585082,-96.8369852,Dallas/Addison Marriott Quorum by the Galleria,32.951296751096336,-96.82430123904123,Hotel
56,Addison,32.9585082,-96.8369852,Chamberlain's Steak and Chop House,32.953916421071746,-96.81485938391751,Steakhouse
57,Addison,32.9585082,-96.8369852,Grand Spa,32.951507451445096,-96.82191363907675,Spa
58,Addison,32.9585082,-96.8369852,Chipotle Mexican Grill,32.95365354893855,-96.81785665678063,Mexican Restaurant
59,Addison,32.9585082,-96.8369852,McAlister's Deli,32.956764405373356,-96.81800668418714,Deli / Bodega
60,Addison,32.9585082,-96.8369852,Dollar Tree,32.951175242793326,-96.85342211156801,Discount Store
61,Addison,32.9585082,-96.8369852,Zio Al's Pizza & Pasta,32.958186880534676,-96.82066818784666,Italian Restaurant
62,Addison,32.9585082,-96.8369852,Vitruvian Park,32.9357407594502,-96.84990654469749,Park
63,Addison,32.9585082,-96.8369852,Dunn Brothers Coffee,32.9537011,-96.8541712,Coffee Shop
64,Addison,32.9585082,-96.8369852,Lazy Dog Restaurant & Bar,32.9513084548158,-96.82092731522724,New American Restaurant
65,Addison,32.9585082,-96.8369852,Jen's Place,32.933302,-96.833272,Café
66,Addison,32.9585082,-96.8369852,Barnes & Noble,32.95490380009899,-96.81615224549083,Bookstore
67,Addison,32.9585082,-96.8369852,Uncle Julio's,32.96944128331272,-96.82069405691287,Mexican Restaurant
68,Addison,32.9585082,-96.8369852,Bay34th St Pizzeria,32.93410175726777,-96.83963826544067,Pizza Place
69,Addison,32.9585082,-96.8369852,Trader Joe's,32.95067895158459,-96.80198147243969,Grocery Store
70,Addison,32.9585082,-96.8369852,Five Below,32.95490739419696,-96.8158143712323,Discount Store
71,Addison,32.9585082,-96.8369852,Smoothie King,32.938615,-96.839625,Smoothie Shop
72,Addison,32.9585082,-96.8369852,House of Cigars,32.93910216032316,-96.83968991912275,Smoke Shop
73,Addison,32.9585082,-96.8369852,Torchy's Tacos,32.94923947743012,-96.80307558867437,Taco Place
74,Addison,32.9585082,-96.8369852,Al Biernat’s North,32.9398321348822,-96.81925308638698,Steakhouse
75,Addison,32.9585082,-96.8369852,Coconut Thai Grill,32.95292,-96.871546,Thai Restaurant
76,Addison,32.9585082,-96.8369852,Super Chix,32.9525872,-96.8051627,Fried Chicken Joint
77,Addison,32.9585082,-96.8369852,Odyssey Pets,32.95279442486732,-96.80543660026312,Pet Store
78,Addison,32.9585082,-96.8369852,Strong Fitness Dallas,32.92903796369786,-96.82730452513124,Gym / Fitness Center
79,Addison,32.9585082,-96.8369852,Nordstrom,32.932396381514806,-96.81961822817232,Department Store
80,Addison,32.9585082,-96.8369852,Fitness Connection,32.98509388166145,-96.85344049297954,Gym
81,Addison,32.9585082,-96.8369852,Pera Wine & Tapas,32.953494071496785,-96.80293476376659,Tapas Restaurant
82,Addison,32.9585082,-96.8369852,Nordstrom Rack,32.937278835733856,-96.81963443756104,Clothing Store
83,Addison,32.9585082,-96.8369852,Galleria Dallas,32.93032777394415,-96.81965823529717,Shopping Mall
84,Addison,32.9585082,-96.8369852,Grand Lux Cafe,32.93078984625131,-96.82001189206899,American Restaurant
85,Addison,32.9585082,-96.8369852,Braum's,32.987054,-96.840161,Ice Cream Shop
86,Addison,32.9585082,-96.8369852,Zara,32.931586079641264,-96.81951171255604,Clothing Store
87,Addison,32.9585082,-96.8369852,World Market,32.93773355425461,-96.82065904140472,Furniture / Home Store
88,Addison,32.9585082,-96.8369852,Fuzzy's Taco Shop,32.984569,-96.842795,Mexican Restaurant
89,Addison,32.9585082,-96.8369852,The Container Store,32.933359182389374,-96.81992928393275,Furniture / Home Store
90,Addison,32.9585082,-96.8369852,Fat Straws Bubble Tea,32.933332238433685,-96.81711678233346,Bubble Tea Shop
91,Addison,32.9585082,-96.8369852,III Forks,32.99169540631128,-96.82843690848702,Steakhouse
